Dimension, epsilon, agg_thr, box_thr, fpr, falsepositive_c, falsepositive_bf, falsenegative_c, bfsize
3,0.002154434690031882,0.9,0.007498942093324558,0.963275937789,63560,48,8910,10682
87,0.01,0.9,0.0005623413251903491,0.980600608787,64729,23,241,294
256,0.021544346900318822,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
5,0.002154434690031882,0.8,0.0005623413251903491,0.960504596187,63364,61,5828,6989
3,0.021544346900318822,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
10,0.00046415888336127773,0.9,0.0,0.911786530977,60088,120,13731,16457
256,0.1,0.8,0.1,0.986582466343,65125,22,1390,1671
10,0.01,0.9,0.0001,0.967940272288,63887,29,514,622
2,0.001,0.8,0.1,0.952145139551,62792,81,20511,24580
17,0.00021544346900318845,0.8,0.1,0.906501294807,59597,262,58063,69573
87,0.01,0.8,0.042169650342858224,0.983205367013,64896,28,2216,2660
29,0.001,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
2,0.021544346900318822,0.8,0.042169650342858224,0.984674329502,65001,20,1236,1488
50,0.004641588833612777,0.9,0.0001,0.975436524162,64392,19,381,463
256,0.1,0.9,0.007498942093324558,0.985158935684,65026,27,1649,1981
87,0.00046415888336127773,0.9,0.0005623413251903491,0.946905335211,62427,100,17243,20664
5,0.1,1.0,0.0005623413251903491,0.0595308406403,0,3931,839364,1005675
87,0.0001,0.9,0.0,0.869777232596,57253,181,25980,31133
17,0.1,0.8,0.00023713737056616554,0.98780912574,65220,8,24,36
2,0.002154434690031882,0.9,0.00023713737056616554,0.973164932685,64227,34,2175,2611
50,0.004641588833612777,0.9,0.0005623413251903491,0.975300228674,64383,19,853,1028
87,0.00046415888336127773,0.8,0.1,0.945224357518,62285,131,30132,36107
149,0.01,1.0,0.1,0.0595308406403,0,3931,839364,1005675
3,0.002154434690031882,0.8,0.00023713737056616554,0.968031135947,63895,27,2817,3380
5,0.004641588833612777,0.9,0.0001,0.969696969697,64000,32,986,1187
87,0.1,0.9,0.00023713737056616554,0.985325519059,65055,9,24,36
29,0.001,0.8,0.007498942093324558,0.966622749231,63783,46,10270,12311
2,0.046415888336127774,0.8,0.0,0.987400239274,65190,11,29,41
87,0.004641588833612777,0.8,0.0031622776601683794,0.98094891948,64758,17,902,1086
256,0.00021544346900318845,0.9,0.007498942093324558,0.857964956915,56315,339,82567,98932
29,0.046415888336127774,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
3,0.1,0.8,0.01778279410038923,0.985416382718,65041,29,1845,2216
5,0.004641588833612777,0.8,0.0001,0.969696969697,64000,32,986,1187
87,0.046415888336127774,0.8,0.0,0.98718822407,65177,10,25,37
10,0.004641588833612777,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
149,0.1,1.0,0.00023713737056616554,0.0595308406403,0,3931,839364,1005675
17,0.00021544346900318845,0.8,0.00023713737056616554,0.946223857768,62396,86,17171,20579
87,0.002154434690031882,0.9,0.0001,0.97166568231,64129,33,1384,1663
50,0.00046415888336127773,0.9,0.0,0.950706464949,62715,63,7719,9254
17,0.1,1.0,0.01778279410038923,0.0595308406403,0,3931,839364,1005675
10,0.046415888336127774,1.0,0.001333521432163324,0.0595308406403,0,3931,839364,1005675
2,0.021544346900318822,0.8,0.0031622776601683794,0.985900988899,65090,12,131,163
10,0.021544346900318822,0.9,0.0031622776601683794,0.971847409629,64141,33,478,579
149,0.046415888336127774,0.9,0.0001,0.984719761331,65011,13,29,42
29,0.004641588833612777,1.0,0.042169650342858224,0.0595308406403,0,3931,839364,1005675
3,0.1,0.9,0.042169650342858224,0.985128647797,65022,29,1924,2310
29,0.046415888336127774,0.8,0.01778279410038923,0.985325519059,65033,31,1880,2258
29,0.002154434690031882,0.8,0.042169650342858224,0.97237744764,64170,39,6392,7664
2,0.001,0.9,0.1,0.952145139551,62792,81,20511,24580
3,0.00046415888336127773,1.0,0.0001,0.0595308406403,0,3931,839364,1005675
3,0.001,0.9,0.01778279410038923,0.949494949495,62604,94,20890,25033
